[1/22 11:23:18] Players: 6, RAMused: 66.71 MB
[1/22 11:20:18] Players: 4, RAMused: 60.91 MB
[1/22 11:17:18] Players: 2, RAMused: 55.06 MB
[1/20 17:54:41] Players: 6, RAMused: 73.18 MB
[1/20 17:51:41] Players: 6, RAMused: 73.11 MB
[1/20 17:48:44] Players: 6, RAMused: 72.86 MB
[1/20 17:18:42] Players: 7, RAMused: 64.13 MB
[1/20 17:15:41] Players: 7, RAMused: 63.41 MB
[1/20 17:12:41] Players: 7, RAMused: 61.92 MB
[1/20 17:09:41] Players: 6, RAMused: 59.07 MB
[1/20 17:06:41] Players: 4, RAMused: 56.82 MB
[1/20 17:03:41] Players: 2, RAMused: 54.81 MB
[1/19 17:15:31] Players: 1, RAMused: 269.2 MB
[1/19 17:10:22] Players: 1, RAMused: 261.47 MB
[1/19 15:47:20] Players: 1, RAMused: 262.3 MB
[1/16 18:00:15] Players: 7, RAMused: 79.81 MB
[1/16 17:57:15] Players: 7, RAMused: 79.65 MB
[1/16 17:54:15] Players: 7, RAMused: 79.83 MB
[1/16 17:51:15] Players: 8, RAMused: 79.95 MB
[1/16 17:48:15] Players: 8, RAMused: 78.75 MB
[1/16 17:45:15] Players: 8, RAMused: 78.52 MB
[1/16 17:42:15] Players: 8, RAMused: 79.26 MB
[1/16 17:39:15] Players: 9, RAMused: 78.3 MB
[1/16 17:36:15] Players: 9, RAMused: 77.93 MB
[1/16 17:33:15] Players: 9, RAMused: 77.5 MB
[1/16 17:30:15] Players: 8, RAMused: 78.13 MB
[1/16 17:27:15] Players: 8, RAMused: 77.14 MB
[1/16 17:24:15] Players: 9, RAMused: 76.6 MB
[1/16 17:21:15] Players: 9, RAMused: 77.4 MB
[1/16 17:18:15] Players: 10, RAMused: 77.29 MB
[1/16 17:15:15] Players: 12, RAMused: 76.18 MB
[1/16 17:12:15] Players: 12, RAMused: 73.65 MB
[1/16 17:09:15] Players: 12, RAMused: 77.3 MB
[1/16 17:06:15] Players: 11, RAMused: 76.37 MB
[1/16 17:03:15] Players: 11, RAMused: 75.93 MB
[1/16 17:00:15] Players: 13, RAMused: 75.45 MB
[1/16 16:57:15] Players: 11, RAMused: 74.77 MB
[1/16 16:54:15] Players: 11, RAMused: 74.72 MB
[1/16 16:51:15] Players: 13, RAMused: 73.86 MB
[1/16 16:48:15] Players: 13, RAMused: 73.98 MB
[1/16 16:45:15] Players: 13, RAMused: 73.68 MB
[1/16 16:42:15] Players: 14, RAMused: 72.02 MB
[1/16 16:39:15] Players: 14, RAMused: 71.86 MB
[1/16 16:36:15] Players: 14, RAMused: 71.98 MB
[1/16 16:33:15] Players: 14, RAMused: 70.54 MB
[1/16 16:30:15] Players: 14, RAMused: 70.88 MB
[1/16 16:27:15] Players: 15, RAMused: 69.27 MB
